id,collected_at,observed_date,stn,source,temp_avg_c,temp_max_c,temp_min_c,rain_day_mm,humidity_avg_pct,raw_fields,raw_line,api_url
2,2026-07-08T20:14:59.800960+09:00,2026-07-08,108,KMA_ASOS_DAILY,,28.6,23.4,26.1,,"{""TM"": ""20260708"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""25.8"", ""TE_10"": ""23.0"", ""TE_15"": ""21.9"", ""TE_30"": ""17.2"", ""TE_50"": ""14.4"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""66.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1006.0"", ""PS_MIN"": ""1002.2"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.6"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""28.6"", ""TA_MIN"": ""23.4"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""22.0"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""16"", ""WD_MAX"": ""18"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""10.4"", ""WS_MAX"": ""4.9"", ""HM_MIN_TM"": ""341"", ""PS_MAX_TM"": ""1945"", ""PS_MIN_TM"": ""247"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""1"", ""TA_MIN_TM"": ""815"", ""WS_INS_TM"": ""430"", ""WS_MAX_TM"": ""448"", ""RN_10M_MAX"": ""4.3"", ""RN_60M_MAX"": ""9.8"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""443"", ""RN_60M_MAX_TM"": ""435"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260708,108,-9.0,-9,18,4.9,448,16,10.4,430,-99.0,28.6,1,23.4,815,-99.0,-99.0,22.0,-9.0,66.0,341,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1006.0,1945,1002.2,247,-9.0,-9.0,14.6,-9.0,-9.00,-9.00,-9,26.1,-9.0,-9.00,9.8,435,4.3,443,-9.0,-9,-9.0,-9,-9.0,-9,25.8,23.0,21.9,17.2,14.4,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
7,2026-07-09T20:14:30.896745+09:00,2026-07-09,108,KMA_ASOS_DAILY,,25.9,22.0,37.8,,"{""TM"": ""20260709"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""-99.0"", ""TE_10"": ""-99.0"", ""TE_15"": ""-99.0"", ""TE_30"": ""-99.0"", ""TE_50"": ""-99.0"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""83.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1010.8"", ""PS_MIN"": ""1006.4"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""37.8"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.6"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""25.9"", ""TA_MIN"": ""22.0"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""21.1"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""16"", ""WD_MAX"": ""11"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""7.5"", ""WS_MAX"": ""3.8"", ""HM_MIN_TM"": ""1"", ""PS_MAX_TM"": ""1229"", ""PS_MIN_TM"": ""502"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""954"", ""TA_MIN_TM"": ""1239"", ""WS_INS_TM"": ""1031"", ""WS_MAX_TM"": ""1016"", ""RN_10M_MAX"": ""4.0"", ""RN_60M_MAX"": ""14.3"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""1207"", ""RN_60M_MAX_TM"": ""1148"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260709,108,-9.0,-9,11,3.8,1016,16,7.5,1031,-99.0,25.9,954,22.0,1239,-99.0,-99.0,21.1,-9.0,83.0,1,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1010.8,1229,1006.4,502,-9.0,-9.0,14.6,-9.0,-9.00,-9.00,-9,37.8,-9.0,-9.00,14.3,1148,4.0,1207,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
13,2026-07-10T20:13:14.073201+09:00,2026-07-10,108,KMA_ASOS_DAILY,,27.7,23.6,4.1,,"{""TM"": ""20260710"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""25.4"", ""TE_10"": ""23.5"", ""TE_15"": ""22.3"", ""TE_30"": ""17.4"", ""TE_50"": ""14.4"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""80.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1011.4"", ""PS_MIN"": ""1009.0"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""4.1"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.6"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""27.7"", ""TA_MIN"": ""23.6"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""23.1"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""23"", ""WD_MAX"": ""20"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""9.4"", ""WS_MAX"": ""5.2"", ""HM_MIN_TM"": ""1209"", ""PS_MAX_TM"": ""1220"", ""PS_MIN_TM"": ""127"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""1636"", ""TA_MIN_TM"": ""1"", ""WS_INS_TM"": ""1225"", ""WS_MAX_TM"": ""1214"", ""RN_10M_MAX"": ""1.9"", ""RN_60M_MAX"": ""2.1"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""1649"", ""RN_60M_MAX_TM"": ""1605"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260710,108,-9.0,-9,20,5.2,1214,23,9.4,1225,-99.0,27.7,1636,23.6,1,-99.0,-99.0,23.1,-9.0,80.0,1209,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1011.4,1220,1009.0,127,-9.0,-9.0,14.6,-9.0,-9.00,-9.00,-9,4.1,-9.0,-9.00,2.1,1605,1.9,1649,-9.0,-9,-9.0,-9,-9.0,-9,25.4,23.5,22.3,17.4,14.4,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
19,2026-07-11T20:13:24.543963+09:00,2026-07-11,108,KMA_ASOS_DAILY,,32.6,24.7,,,"{""TM"": ""20260711"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""25.5"", ""TE_10"": ""23.5"", ""TE_15"": ""22.5"", ""TE_30"": ""17.7"", ""TE_50"": ""14.5"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""56.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1012.3"", ""PS_MIN"": ""1010.0"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""-9.0"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.6"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""32.6"", ""TA_MIN"": ""24.7"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""22.2"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""18"", ""WD_MAX"": ""20"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""6.3"", ""WS_MAX"": ""3.5"", ""HM_MIN_TM"": ""1320"", ""PS_MAX_TM"": ""1"", ""PS_MIN_TM"": ""1837"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""1643"", ""TA_MIN_TM"": ""537"", ""WS_INS_TM"": ""1346"", ""WS_MAX_TM"": ""1354"", ""RN_10M_MAX"": ""-9.0"", ""RN_60M_MAX"": ""-9.0"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""-9"", ""RN_60M_MAX_TM"": ""-9"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260711,108,-9.0,-9,20,3.5,1354,18,6.3,1346,-99.0,32.6,1643,24.7,537,-99.0,-99.0,22.2,-9.0,56.0,1320,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1012.3,1,1010.0,1837,-9.0,-9.0,14.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.5,23.5,22.5,17.7,14.5,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
25,2026-07-12T20:12:40.843299+09:00,2026-07-12,108,KMA_ASOS_DAILY,,35.0,25.2,,,"{""TM"": ""20260712"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""26.1"", ""TE_10"": ""23.5"", ""TE_15"": ""22.5"", ""TE_30"": ""17.8"", ""TE_50"": ""14.5"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""50.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1011.7"", ""PS_MIN"": ""1008.7"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""-9.0"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.6"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""35.0"", ""TA_MIN"": ""25.2"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""22.1"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""23"", ""WD_MAX"": ""20"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""8.0"", ""WS_MAX"": ""4.1"", ""HM_MIN_TM"": ""1422"", ""PS_MAX_TM"": ""639"", ""PS_MIN_TM"": ""1729"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""1602"", ""TA_MIN_TM"": ""517"", ""WS_INS_TM"": ""1113"", ""WS_MAX_TM"": ""1417"", ""RN_10M_MAX"": ""-9.0"", ""RN_60M_MAX"": ""-9.0"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""-9"", ""RN_60M_MAX_TM"": ""-9"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260712,108,-9.0,-9,20,4.1,1417,23,8.0,1113,-99.0,35.0,1602,25.2,517,-99.0,-99.0,22.1,-9.0,50.0,1422,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1011.7,639,1008.7,1729,-9.0,-9.0,14.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.1,23.5,22.5,17.8,14.5,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
31,2026-07-13T20:14:22.736974+09:00,2026-07-13,108,KMA_ASOS_DAILY,,33.5,27.6,0.0,,"{""TM"": ""20260713"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""26.6"", ""TE_10"": ""23.7"", ""TE_15"": ""22.6"", ""TE_30"": ""17.9"", ""TE_50"": ""14.5"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""56.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1010.3"", ""PS_MIN"": ""1006.1"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""0.0"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.6"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""33.5"", ""TA_MIN"": ""27.6"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""23.8"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""16"", ""WD_MAX"": ""20"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""8.3"", ""WS_MAX"": ""4.2"", ""HM_MIN_TM"": ""1653"", ""PS_MAX_TM"": ""1"", ""PS_MIN_TM"": ""1749"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""1648"", ""TA_MIN_TM"": ""600"", ""WS_INS_TM"": ""314"", ""WS_MAX_TM"": ""303"", ""RN_10M_MAX"": ""-9.0"", ""RN_60M_MAX"": ""-9.0"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""-9"", ""RN_60M_MAX_TM"": ""-9"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260713,108,-9.0,-9,20,4.2,303,16,8.3,314,-99.0,33.5,1648,27.6,600,-99.0,-99.0,23.8,-9.0,56.0,1653,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1010.3,1,1006.1,1749,-9.0,-9.0,14.6,-9.0,-9.00,-9.00,-9,0.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.6,23.7,22.6,17.9,14.5,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
37,2026-07-14T20:15:00.582770+09:00,2026-07-14,108,KMA_ASOS_DAILY,,31.0,26.2,14.1,,"{""TM"": ""20260714"", ""STN"": ""108"", ""EV_L"": ""-9.0"", ""EV_S"": ""-9.0"", ""TE_05"": ""26.9"", ""TE_10"": ""23.9"", ""TE_15"": ""22.6"", ""TE_30"": ""17.9"", ""TE_50"": ""14.6"", ""CA_TOT"": ""-9.0"", ""FG_DUR"": ""-9.00"", ""HM_AVG"": ""-9.0"", ""HM_MIN"": ""63.0"", ""PA_AVG"": ""-9.0"", ""PS_AVG"": ""-9.0"", ""PS_MAX"": ""1007.8"", ""PS_MIN"": ""998.5"", ""PV_AVG"": ""-9.0"", ""RN_D99"": ""-9.0"", ""RN_DAY"": ""14.1"", ""RN_DUR"": ""-9.00"", ""SD_MAX"": ""-9.0"", ""SD_NEW"": ""-9.0"", ""SI_DAY"": ""-9.00"", ""SS_CMB"": ""-9.0"", ""SS_DAY"": ""-9.0"", ""SS_DUR"": ""14.5"", ""TA_AVG"": ""-99.0"", ""TA_MAX"": ""31.0"", ""TA_MIN"": ""26.2"", ""TD_AVG"": ""-99.0"", ""TG_MIN"": ""24.7"", ""TS_AVG"": ""-99.0"", ""WD_INS"": ""20"", ""WD_MAX"": ""18"", ""WR_DAY"": ""-9"", ""WS_AVG"": ""-9.0"", ""WS_INS"": ""10.1"", ""WS_MAX"": ""5.3"", ""HM_MIN_TM"": ""1214"", ""PS_MAX_TM"": ""10"", ""PS_MIN_TM"": ""2009"", ""SD_MAX_TM"": ""-9"", ""SD_NEW_TM"": ""-9"", ""TA_MAX_TM"": ""1212"", ""TA_MIN_TM"": ""1922"", ""WS_INS_TM"": ""303"", ""WS_MAX_TM"": ""1120"", ""RN_10M_MAX"": ""5.7"", ""RN_60M_MAX"": ""11.6"", ""RN_POW_MAX"": ""-9.0"", ""SI_60M_MAX"": ""-9.00"", ""RN_10M_MAX_TM"": ""1812"", ""RN_60M_MAX_TM"": ""1757"", ""RN_POW_MAX_TM"": ""-9"", ""SI_60M_MAX_TM"": ""-9""}","20260714,108,-9.0,-9,18,5.3,1120,20,10.1,303,-99.0,31.0,1212,26.2,1922,-99.0,-99.0,24.7,-9.0,63.0,1214,-9.0,-9.0,-9.0,-9.00,-9.0,-9.0,1007.8,10,998.5,2009,-9.0,-9.0,14.5,-9.0,-9.00,-9.00,-9,14.1,-9.0,-9.00,11.6,1757,5.7,1812,-9.0,-9,-9.0,-9,-9.0,-9,26.9,23.9,22.6,17.9,14.6,",https://apihub.kma.go.kr/api/typ01/url/kma_sfcdd.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
